VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,7/1/2021 0:30,7/1/2021 0:35,N,1,74,168,1,1.2,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,7/1/2021 0:25,7/1/2021 1:01,N,1,116,265,2,13.69,42,0.5,0.5,0,0,,0.3,43.3,2,1,0
2,7/1/2021 0:05,7/1/2021 0:12,N,1,97,33,1,0.95,6.5,0.5,0.5,2.34,0,,0.3,10.14,1,1,0
2,7/1/2021 0:41,7/1/2021 0:47,N,1,74,42,1,1.24,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,7/1/2021 0:51,7/1/2021 0:58,N,1,42,244,1,1.1,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
1,7/1/2021 0:05,7/1/2021 0:11,N,1,24,239,1,1.9,8,3.25,0.5,3,0,,0.3,15.05,1,1,2.75
2,7/1/2021 0:57,7/1/2021 1:27,N,1,75,243,1,0,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,0
2,7/1/2021 0:27,7/1/2021 0:32,N,1,82,82,1,0.66,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,7/1/2021 0:29,7/1/2021 0:34,N,1,74,42,1,1.72,7,0.5,0.5,2.08,0,,0.3,10.38,1,1,0
2,7/1/2021 0:41,7/1/2021 0:49,N,1,41,42,1,1.37,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,7/1/2021 0:31,7/1/2021 0:40,N,1,74,236,1,2.14,9,0.5,0.5,2.65,0,,0.3,15.7,1,1,2.75
2,7/1/2021 0:16,7/1/2021 0:16,N,5,167,167,1,0.01,13,0,0,0,0,,0.3,13.3,2,1,0
2,6/7/2021 15:15,6/7/2021 16:45,N,1,197,225,1,7.74,56,0.5,0.5,0,0,,0.3,57.3,1,1,0
2,7/1/2021 0:31,7/1/2021 1:06,N,1,7,23,1,25.08,65.5,0.5,0.5,0,6.55,,0.3,73.35,2,1,0
2,7/1/2021 0:10,7/1/2021 0:11,N,5,129,264,1,0,7,0,0,0,0,,0.3,7.3,2,2,0
2,7/1/2021 0:12,7/1/2021 0:12,N,5,129,264,1,0,7,0,0,2.19,0,,0.3,9.49,1,2,0
2,7/1/2021 0:12,7/1/2021 1:05,N,1,226,75,1,11.4,42,0.5,0.5,0,6.55,,0.3,49.85,1,1,0
2,7/1/2021 1:08,7/1/2021 1:36,N,1,74,226,1,9.08,31,0.5,0.5,0,6.55,,0.3,38.85,1,1,0
2,7/1/2021 0:57,7/1/2021 1:02,N,1,168,42,1,1.4,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,7/1/2021 0:06,7/1/2021 0:27,N,1,226,225,1,5.76,19.5,0.5,0.5,4.16,0,,0.3,24.96,1,1,0
2,7/1/2021 0:59,7/1/2021 1:22,N,1,226,186,1,5.69,20.5,0.5,0.5,0,0,,0.3,24.55,2,1,2.75
2,7/1/2021 0:15,7/1/2021 0:23,N,1,127,75,1,5.65,16.5,0.5,0.5,0,0,,0.3,17.8,2,1,0
2,7/1/2021 0:42,7/1/2021 0:58,N,1,127,174,1,3.27,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
2,7/1/2021 0:08,7/1/2021 0:13,N,1,41,42,1,1.04,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,7/1/2021 0:44,7/1/2021 1:19,N,5,74,167,1,5.63,14,0,0,0,0,,0.3,14.3,2,2,0
2,7/1/2021 0:59,7/1/2021 1:19,N,1,41,174,1,9.81,28.5,0.5,0.5,0,0,,0.3,29.8,2,1,0
2,7/1/2021 1:06,7/1/2021 1:18,N,1,75,143,1,3.25,12,0.5,0.5,1.6,0,,0.3,17.65,1,1,2.75
2,7/1/2021 1:36,7/1/2021 1:40,N,1,75,41,1,1.12,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,7/1/2021 1:58,7/1/2021 2:08,N,1,41,238,1,2.58,10.5,0.5,0.5,0,0,,0.3,14.55,2,1,2.75
2,7/1/2021 1:08,7/1/2021 1:16,N,1,159,116,1,2.19,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
